Event Root Code	Year	Avg. Avg Tone	Num Articles
01	2004	4.591602743	29,992
20	1999	4.591761349	640
13	2001	4.600191338	6,554
04	1983	4.602870215	1,990
16	2006	4.602907483	1,390
06	2001	4.603498861	3,894
06	1997	4.607955328	2,327
13	1997	4.617550308	1,193
08	1989	4.621677362	136
06	2007	4.623349215	6,240
15	2009	4.624134025	4,230
18	1993	4.624871350	249
10	2002	4.626225374	3,086
15	1985	4.627251154	50
18	1996	4.631380002	3,136
16	1998	4.634746730	2,960
06	2004	4.635968302	2,906
06	2002	4.636649502	3,025
13	2004	4.638385665	3,689
16	2004	4.643563763	1,396
14	2004	4.646964965	1,771
13	2011	4.648211948	16,643
12	1993	4.650933009	537
15	1982	4.651162791	6
08	2001	4.654620806	9,052
16	1987	4.657994449	27
01	1998	4.659348447	45,564
11	2008	4.659495391	23,926
11	1986	4.660559960	370
16	2005	4.660893121	1,692
08	1994	4.662325840	1,144
11	1989	4.678194458	248
04	1981	4.679709443	2,113
04	2003	4.685111845	65,949
16	2008	4.685149370	3,632
04	1985	4.685448063	2,621
14	2011	4.685975269	12,265
09	1980	4.687235996	30
01	1984	4.689067759	1,357
04	2002	4.691775220	49,688
12	1992	4.693835319	497
04	1998	4.695145616	62,006
16	2009	4.695574651	6,935
01	2005	4.696271668	27,007
11	1993	4.699955374	1,190
12	2000	4.703169805	10,717
12	2012	4.708148544	31,890
03	1985	4.708238231	666
01	2009	4.711541744	161,252
07	2003	4.714284078	6,231
06	2012	4.716315442	29,815
04	1995	4.719247504	9,588
12	1994	4.726852307	1,143
13	1999	4.736218043	8,275
10	2012	4.736287342	18,556
04	1994	4.745363678	12,611
06	2008	4.745932492	6,862
12	2002	4.746933001	6,702
08	1982	4.751819628	132
01	1980	4.752348820	460
03	1994	4.754987564	4,619
11	1985	4.761412298	455
08	1991	4.762725525	300
13	1982	4.771046311	79
10	1998	4.784305659	8,243
01	1982	4.785058557	905
11	2011	4.786409760	73,217
11	1990	4.788921742	346
13	1983	4.796238856	21
13	1995	4.798893314	570
01	2008	4.802600320	59,056
20	1991	4.809300386	38
15	1986	4.810287085	78
10	1985	4.810431024	42
10	1983	4.813669230	61
11	1999	4.814451173	26,110
01	1985	4.814795978	1,275
04	1982	4.815922682	1,948
01	1999	4.817700372	57,158
16	1997	4.818122426	1,136
12	2007	4.820024914	7,766
04	1984	4.822425700	2,728
11	1982	4.828319982	368
08	2002	4.830723287	6,579
04	1997	4.834859823	25,875
04	2001	4.835650634	62,750
08	1990	4.836149227	179
14	1979	4.836504945	30
02	2000	4.842408163	22,275
12	1986	4.844783046	151
20	2009	4.847317746	138
03	1980	4.850823486	269
08	1979	4.851508343	173
01	1983	4.856147952	813
03	1983	4.858353184	507
02	1995	4.864880921	2,863
12	2001	4.865227337	10,668
01	2010	4.866651567	165,983
06	1996	4.867720387	1,808
03	1995	4.868082829	3,011
01	1996	4.870815973	16,694
08	2012	4.875120354	39,257
20	1997	4.878048780	2
09	1983	4.883993015	68
08	1980	4.884883916	55
20	2007	4.884922413	37
14	1989	4.885708282	21
07	2001	4.887170461	6,245
07	1997	4.894017793	2,440
12	1990	4.908106540	276
11	1987	4.909841755	109
08	2004	4.918717444	8,693
02	1991	4.923988067	1,163
04	2012	4.926553006	270,503
02	2003	4.927875817	21,763
07	1999	4.931474239	9,941
16	1986	4.936214436	91
10	2010	4.939404399	12,815
16	1999	4.940161217	4,275
06	2005	4.940988757	2,781
01	2011	4.945711299	181,260
10	1997	4.946768832	1,256
06	1998	4.952070242	4,495
10	2003	4.953902904	4,284
20	2005	4.957053761	26
08	1995	4.964597144	1,299
07	2002	4.965105387	5,456
10	2006	4.965914999	1,165
10	2004	4.967279086	2,412
04	2004	4.974249513	40,480
02	2002	4.975451193	12,924
06	2011	4.977452746	33,096
10	2001	4.978862988	5,201
12	2009	4.987333064	22,017
12	1989	4.992192370	147
16	1979	4.993837087	32
12	2005	4.995604339	3,358
10	2007	4.997982102	3,607
16	1994	4.998637709	363
03	1997	5.003550624	8,374
13	1986	5.013291950	82
20	1994	5.015188915	63
12	2006	5.019663085	2,690
13	1989	5.023808606	11
04	2005	5.027867205	38,822
12	2011	5.029081104	26,203
20	1995	5.029119777	85
12	2004	5.031589453	6,396
03	1984	5.033077493	611
08	2008	5.033150804	12,285
02	1980	5.034628482	227
14	1986	5.036507453	59
03	2000	5.037176860	20,842
06	2010	5.043461623	15,426
12	2008	5.050824386	10,372
04	1999	5.056040399	88,419
12	2010	5.068039843	23,831
04	2007	5.068969915	68,175
10	1999	5.070168525	8,153
12	1987	5.071963275	144
02	1984	5.073786439	507
09	1986	5.074823179	47
08	1992	5.085049298	414
10	2005	5.085702246	2,465
08	2010	5.094312571	25,310
08	1984	5.096839528	157
10	2011	5.098249797	20,197
